BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,PRICE_LOG,SQFT_LOG,PRICE_PER_SQFT,PRICE_PER_SQFT_LOG,BEDS_PER_SQFT,BATH_PER_SQFT,DIST_TO_MANHATTAN,DIST_TO_JFK_AIRPORT,DIST_TO_LAGUARDIA_AIRPORT,DIST_TO_TIMES_SQUARE,LOCALITY_GROUPED,SUBLOCALITY_GROUPED,BEDS_TIMES_BATH,SQFT_TIMES_DISTANCE
Brokered by Keller Williams Realty Elite,Multi-family home for sale,915999,5,3.0,2184.207862,26-39 93rd St,"East Elmhurst, NY 11369","26-39 93rd StEast Elmhurst, NY 11369",United States,New York,Queens County,Queens,93rd Street,"26-39 93rd St, Flushing, NY 11369, USA",40.7618985,-73.8758538,13.727771643656268,7.6894662343551055,419.37354769946336,6.041143715280665,0.0022891594188392,0.0013734956513035,0.0976749786623411,0.1552411144532635,0.0151156070566129,0.1097154842157206,New York,Queens County,15.0,213.34245631496788
Brokered by Sowae Corp,House for sale,270000,4,2.0,2000.0,2417 Cambreleng Ave,"Bronx, NY 10458","2417 Cambreleng AveBronx, NY 10458",United States,New York,Bronx County,The Bronx,Cambreleng Avenue,"2417 Cambreleng Ave, Bronx, NY 10458, USA",40.8550515,-73.8852304,12.506180941677355,7.601402334583733,135.0,4.912654885736052,0.002,0.001,0.112106157174396,0.2390954335749867,0.0789542832049705,0.1395456424844957,New York,Bronx County,8.0,224.212314348792
Brokered by Akcess24homes Inc,House for sale,750000,3,2.0,2184.207862,116-59 120th St,"South Ozone Park, NY 11420","116-59 120th StSouth Ozone Park, NY 11420",United States,New York,Queens County,Queens,120th Street,"11659 120th St, Jamaica, NY 11420, USA",40.6743844,-73.8184378,13.527829818844936,7.6894662343551055,343.37391282588464,5.841728022953767,0.0013734956513035,0.0009156637675356,0.1874976571378923,0.0521700645217183,0.1166044866726791,0.1868190226722148,New York,Queens County,6.0,409.5338568271648
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,4150000,5,4.0,2184.207862,170 W 76th St # 302/402,"New York, NY 10023","170 W 76th St # 302/402New York, NY 10023",United States,New York,New York County,New York,West 76th Street,"170 W 76th St, New York, NY 10023, USA",40.7807845,-73.979261,15.238619133170708,7.6894662343551055,1900.0023176365617,7.550136561654736,0.0022891594188392,0.0018313275350713,0.008386969729881,0.2447890390954017,0.105332651448873,0.0236232631372151,New York,New York County,20.0,18.31888522236216
Brokered by Corcoran Brooklyn Heights,Condo for sale,1075000,2,2.0,1144.0,1222 Putnam Ave # 4A,"Brooklyn, NY 11221","1222 Putnam Ave # 4ABrooklyn, NY 11221",New York,Kings County,Brooklyn,Bushwick,1222,"1222 Putnam Ave #4a, Brooklyn, NY 11221, USA",40.6912454,-73.9154184,13.887832149776026,7.0431599159883405,939.6853146853148,6.846608667806104,0.0017482517482517,0.0017482517482517,0.1074655965401018,0.146119423622321,0.095143020551796,0.0967864002828994,Kings County,Brooklyn,4.0,122.94064244187643
Brokered by Homefinders of SI Inc.,House for sale,465000,2,2.0,1048.0,12 Maple Ter,"Staten Island, NY 10306","12 Maple TerStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,Maple Terrace,"12 Maple Terrace, Staten Island, NY 10306, USA",40.5636372,-74.1009652,13.049794835104816,6.955592608396297,443.7022900763359,6.097405047214063,0.0019083969465648,0.0019083969465648,0.2549567173362571,0.3320744613409559,0.3114389568998751,0.226073241306619,New York,Richmond County,4.0,267.1946397683974
Brokered by RE MAX Elite,Co-op for sale,239000,3,1.0,450.0,9902 3rd Ave Apt 5P,"Brooklyn, NY 11209","9902 3rd Ave Apt 5PBrooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,9902,"9902 3rd Ave #5p, Brooklyn, NY 11209, USA",40.6141658,-74.0353827,12.384223015005311,6.111467339502679,531.1111111111111,6.2768523230063895,0.0066666666666666,0.0022222222222222,0.1807157516901304,0.2587095911034848,0.2291872503193185,0.1522384998905662,Kings County,Brooklyn,3.0,81.3220882605587
Brokered by Soverign Homes Realty Inc,House for sale,450000,3,2.3738608579684373,2184.207862,125-15 Defoe St,"Queens, NY 11413","125-15 Defoe StQueens, NY 11413",United States,New York,Queens County,Queens,Defoe Street,"125-15 Defoe St, Jamaica, NY 11413, USA",40.681047,-73.754428,13.017005083966255,7.6894662343551055,206.0243476955308,5.332836408066017,0.0013734956513035,0.0010868291884064,0.239593227769476,0.0462621615686019,0.153249015634677,0.2435488316395694,New York,Queens County,7.121582573905312,523.3214117760463
Brokered by Daniel Gale Sotheby's International Realty,Multi-family home for sale,1098000,3,3.0,1155.0,200-03 34th Ave,"Bayside, NY 11361","200-03 34th AveBayside, NY 11361",United States,New York,Queens County,Queens,34th Avenue,"200-03 34th Ave, Flushing, NY 11361, USA",40.7668927,-73.787636,13.90900181179801,7.052721049232323,950.6493506493506,6.858196637791681,0.0025974025974025,0.0025974025974025,0.1842781014371653,0.1259542043335189,0.0869418572914569,0.1980637337053106,New York,Queens County,9.0,212.841207159926
Brokered by Exp Realty,Multi-family home for sale,1080000,5,2.0,2570.0,1110 Clarence Ave,"Bronx, NY 10465","1110 Clarence AveBronx, NY 10465",United States,New York,Bronx County,The Bronx,Clarence Avenue,"1110 Clarence Ave, Bronx, NY 10465, USA",40.8360249,-73.8189088,13.8924725250259,7.852050207265889,420.2334630350194,6.043187224005838,0.0019455252918287,0.0007782101167315,0.1612254776313225,0.1989551327245655,0.0808133288353427,0.183957910777028,New York,Bronx County,10.0,414.3494775124988
"Brokered by Robert Defalco Realty, Inc.",Contingent,1099000,6,6.0,3219.0,111 Highland Rd,"Staten Island, NY 10308","111 Highland RdStaten Island, NY 10308",United States,New York,Richmond County,Staten Island,Highland Road,"111 Highland Rd, Staten Island, NY 10308, USA",40.549134,-74.142459,13.909912143303451,8.077136638538454,341.4103758931345,5.8360099472346585,0.0018639328984156,0.0018639328984156,0.2899478129543313,0.3758351399709788,0.3520619056884765,0.261268317323399,New York,Richmond County,36.0,933.3420098999926
Brokered by Momentum Real Estate Llc,Multi-family home for sale,1180000,4,3.0,1528.0,6504 17th Ave,"Brooklyn, NY 11204","6504 17th AveBrooklyn, NY 11204",United States,New York,Kings County,Brooklyn,17th Avenue,"6504 17th Ave, Brooklyn, NY 11204, USA",40.6204591,-73.9928625,13.981025843899117,7.332369205929062,772.2513089005236,6.650604104289933,0.0026178010471204,0.0019633507853403,0.1640771960360734,0.2157713477713451,0.1964740417944857,0.1377378146300474,New York,Kings County,12.0,250.7099555431202
"Brokered by Century 21 Amiable Realty Group II, Inc.",Co-op for sale,219000,1,1.0,780.0,86-10 109th St Unit CC1,"Richmond Hill, NY 11418","86-10 109th St Unit CC1Richmond Hill, NY 11418",New York,Queens County,Queens,Richmond Hill,8610,"8610 109th St Apt C1, Richmond Hill, NY 11418, USA",40.6981799,-73.83976,12.296831574998258,6.660575149839686,280.7692307692308,5.641088405317277,0.0012820512820512,0.0012820512820512,0.1564860919826713,0.0838884892223613,0.0858442295323891,0.1575391759658892,Queens County,Queens,1.0,122.05915174648364
Brokered by Skylight Real Estate Consultan,Multi-family home for sale,950000,6,3.0,2184.207862,136 E 87th St,"Brooklyn, NY 11236","136 E 87th StBrooklyn, NY 11236",United States,New York,Kings County,Brooklyn,East 87th Street,"136 E 87th St, Brooklyn, NY 11236, USA",40.6489264,-73.9197127,13.76421831620775,7.6894662343551055,434.9402895794539,6.0775052834646175,0.002746991302607,0.0013734956513035,0.1437132457299891,0.1418179071142036,0.1358929477134489,0.1273774668387231,New York,Kings County,18.0,313.8996011969802
"Brokered by CORE Group Marketing, LLC",Condo for sale,5900000,3,3.0,2706.0,241 Fifth Ave Ph 15,"New York, NY 10016","241 Fifth Ave Ph 15New York, NY 10016",New York,New York County,New York,Manhattan,241,"241 5th Ave Ph 15, New York, NY 10016, USA",40.744213,-73.987241,15.59046307836746,7.903596289614301,2180.339985218034,7.687694639067969,0.0011086474501108,0.0011086474501108,0.0420655732161073,0.2330902045346419,0.1178641762793097,0.0138964905641677,New York County,New York,9.0,113.82944112278648
Brokered by COMPASS,Condo for sale,600000,3,1.0,441.0,1 Central Park W Unit 612,"Manhattan, NY 10023","1 Central Park W Unit 612Manhattan, NY 10023",New York,New York County,New York,Manhattan,1,"1 Central Park W #612, New York, NY 10023, USA",40.7691094,-73.98162,13.304686600863562,6.091309882077698,1360.544217687075,7.21637478877122,0.0068027210884353,0.0022675736961451,0.0174445776205733,0.2403240169611933,0.107901611889547,0.0117674622735683,New York County,New York,3.0,7.693058730672854
Brokered by RE MAX Edge,Co-op for sale,199000,3,1.0,650.0,207 Ocean Pkwy Ste 1H,"Brooklyn, NY 11218","207 Ocean Pkwy Ste 1HBrooklyn, NY 11218",New York,Kings County,Brooklyn,Kensington,207,"207 Ocean Pkwy Ste 1h, Brooklyn, NY 11218, USA",40.6449836,-73.9738362,12.201065128819632,6.478509642208569,306.15384615384613,5.727348749601685,0.0046153846153846,0.0015384615384615,0.1381415560191732,0.1957708581464554,0.1654364029450539,0.1136166840714867,Kings County,Brooklyn,3.0,89.79201141246259
"Brokered by Robert E. Hill, Inc.",Co-op for sale,220000,2,1.0,850.0,5620 Netherland Ave Apt 3G,"Bronx, NY 10471","5620 Netherland Ave Apt 3GBronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,5620,"5620 Netherland Ave #3g, Bronx, NY 10471, USA",40.9049354,-73.9060897,12.301387370778713,6.746412128573375,258.8235294117647,5.56000266754031,0.0023529411764705,0.0011764705882352,0.1381420133748258,0.2930614055778229,0.1319955018144574,0.1670209792788021,Bronx County,The Bronx,2.0,117.42071136860191
Brokered by CENTURY 21 Homefront,Co-op for sale,399000,2,1.0,960.0,464 Neptune Ave Apt 2C,"Brooklyn, NY 11224","464 Neptune Ave Apt 2CBrooklyn, NY 11224",New York,Kings County,Brooklyn,Coney Island,464,"464 Neptune Ave #2c, Brooklyn, NY 11224, USA",40.5792324,-73.9713245,12.896719202134523,6.8679744089702925,415.625,6.032186536627904,0.0020833333333333,0.0010416666666666,0.2038676380154733,0.2029485017683295,0.2203282514567935,0.1793287473050832,Kings County,Brooklyn,2.0,195.7129324948544
"Brokered by Charles Rutenberg Realty, Inc.",Co-op for sale,559000,3,2.0,1200.0,5700 Arlington Ave Unit 2MN,"Bronx, NY 10471","5700 Arlington Ave Unit 2MNBronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,5700,"5700 Arlington Ave #2m, Bronx, NY 10471, USA",40.9069228,-73.9062512,13.2339065410444,7.090909822079984,465.8333333333333,6.1459723060320535,0.0025,0.0016666666666666,0.1398228608678828,0.29492067059004,0.133962936744758,0.168696095572122,Bronx County,The Bronx,6.0,167.78743304145942
Brokered by City Connections Realty,Contingent,599000,1,1.0,578.0,20 West St Apt 15F,"New York, NY 10004","20 West St Apt 15FNew York, NY 10004",New York,New York County,New York,Manhattan,20,"20 West St #15f, New York, NY 10004, USA",40.706541,-74.0158244,13.303018546545276,6.361302477572996,1036.3321799307955,6.944407484737648,0.0017301038062283,0.0017301038062283,0.0886149962272735,0.2465142560509681,0.1583178742794405,0.0597293723084379,New York County,New York,1.0,51.21946781936413
Brokered by Taranto Realty,Condo for sale,549000,3,2.0,1092.0,4 Jamie Ct,"Staten Island, NY 10314","4 Jamie CtStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Jamie Court,"4 Jamie Ct, Staten Island, NY 10314, USA",40.6221107,-74.1499982,13.215855541983634,6.996681488176539,502.74725274725273,6.222074659642553,0.0027472527472527,0.0018315018315018,0.2405958250629675,0.3723929381684526,0.3164407271476464,0.2133671944271885,New York,Richmond County,6.0,262.7306409687605
