PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LATITUDE,LONGITUDE,PRICE_CAT,PRICE_LOG,SQFT_LOG,PRICE_PER_SQFT,BEDS_PER_SQFT,BATH_PER_SQFT,DIST_TO_MANHATTAN,LOCALITY_GROUPED,BEDS_TIMES_BATH,SQFT_TIMES_DISTANCE
199900,1,1.0,2184.207862,828 Gerard Ave Apt 5F,"Bronx, NY 10451",New York,Bronx County,The Bronx,Concourse,40.8260352,-73.9256625,1,12.20557752297723,7.6894662343551055,1.5873114142103881,0.00045783188376784625,0.00045783188376784625,0.06258670230400154,Bronx County,1.0,136.7023672290537
369000,2,1.0,2184.207862,43-40 Union St Unit 3D,"Flushing, NY 11355",New York,Queens County,Queens,Flushing,40.753455,-73.8209077,1,12.818554633046093,7.6894662343551055,1.6670278849493056,0.0009156637675356925,0.00045783188376784625,0.15318812442316337,Queens County,2.0,334.5947057301077
699000,4,3.0,1591.0,111-31 141st St,"Jamaica, NY 11435",United States,New York,Queens County,Queens,40.6847504,-73.8027331,3,13.457407451830088,7.3727463664043285,1.8252909815468445,0.00251414204902577,0.0018856065367693275,0.1950736789414945,New York,12.0,310.36222319591775
4250000,3,2.0,2400.0,123 Prince St Unit 1,"Manhattan, NY 10012",New York,New York County,New York,Manhattan,40.725464,-73.9999212,5,15.26242977619469,7.783640596221253,1.9608343406302942,0.00125,0.0008333333333333334,0.06439577490363656,New York County,6.0,154.54985976872774
825000,2,2.0,2184.207862,32-39 Jordan St,"Flushing, NY 11358",United States,New York,Queens County,Queens,40.768457,-73.789417,3,13.623139877437296,7.6894662343551055,1.771662617695314,0.0009156637675356925,0.0009156637675356925,0.18237180850668358,New York,4.0,398.3379379474568
329000,2,1.0,837.0,55 Austin Pl Apt 4L,"Staten Island, NY 10304",New York,Richmond County,Staten Island,Mid Island,40.6315346,-74.0856344,1,12.703816069256568,6.731018100482083,1.887354316926693,0.0023894862604540022,0.0011947431302270011,0.18991393413996865,Richmond County,2.0,158.95796287515375
889000,2,2.0,1520.0,17 S Greenleaf Ave,"Staten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.6233188,-74.1259917,3,13.697853639354802,7.327123292259293,1.8694722461987012,0.0013157894736842105,0.0013157894736842105,0.2224646090108054,New York,4.0,338.1462056964242
769000,2,2.0,2184.207862,101-55 112th St,"Richmond Hill South, NY 11419",United States,New York,Queens County,Queens,40.6868333,-73.8309133,3,13.552847548877052,7.6894662343551055,1.7625212382525914,0.0009156637675356925,0.0009156637675356925,0.17014004738971966,New York,4.0,371.6212291496783
1200000,4,2.0,2536.0,66 Bay 22nd St,"Brooklyn, NY 11214",United States,New York,Kings County,Brooklyn,40.6042861,-74.0012526,4,13.997832948091215,7.838737559599282,1.7857254234707136,0.0015772870662460567,0.0007886435331230284,0.18132172953060063,New York,8.0,459.8319060896032
220500,2,1.0,900.0,350 Richmond Ter Apt 3M,"Staten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,40.6481488,-74.0847983,1,12.303657509006147,6.803505257608338,1.808429191003712,0.0022222222222222222,0.0011111111111111111,0.17639841310037482,Richmond County,2.0,158.75857179033733
1999000,3,3.0,2739.0,259 80th St,"Brooklyn, NY 11209",United States,New York,Kings County,Brooklyn,40.6281691,-74.0297598,5,14.508158113732536,7.9157131993821155,1.8328301882975009,0.001095290251916758,0.001095290251916758,0.1656286024539501,New York,9.0,453.65674212136935
3250000,2,2.0,1300.0,240 Centre St Unit 2M,"New York, NY 10013",New York County,New York,Manhattan,Centre Street,40.7199716,-73.9980266,5,14.99416586199818,7.170888478512505,2.090977416107927,0.0015384615384615385,0.0015384615384615385,0.06859199190955113,New York,4.0,89.16958948241647
1650000,2,2.0,1267.0,473 Hicks St Apt 4,"Brooklyn, NY 11231",New York,Kings County,Brooklyn,Cobble Hill,40.6866098,-73.9997131,4,14.316286451937186,7.145196134997171,2.0036239987613516,0.0015785319652722968,0.0015785319652722968,0.10061488740563947,Kings County,4.0,127.4790623429452
1049000,4,4.0,2554.0,342 Manhattan St,"Staten Island, NY 10307",United States,New York,Richmond County,Staten Island,40.5016233,-74.2417531,4,13.863348840666827,7.845807502637805,1.7669753987726426,0.0015661707126076742,0.0015661707126076742,0.39042043051369607,New York,16.0,997.1337795319797
998800,3,4.0,2400.0,1191 Clove Rd,"Staten Island, NY 10301",United States,New York,Richmond County,Staten Island,40.6175,-74.103996,4,13.814310838588696,7.783640596221253,1.7747878602328029,0.00125,0.0016666666666666668,0.2122690218001652,New York,12.0,509.44565232039645
