PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE,PRICE_CAT
515000,2,2.0,1200.0,Kings County,Brooklyn,40.5866451,-73.949452,2
595000,1,2.0,846.0,Kings County,Brooklyn,40.6749628,-73.9401841,2
1088000,4,2.0,2184.207862,Queens County,Queens,40.7932921,-73.7951779,4
250000,2,1.0,2184.207862,Queens County,Queens,40.700309,-73.8535466,1
628000,3,2.0,960.0,New York,Richmond County,40.5883038,-74.0928759,2
725000,3,2.3738608579684373,1498.0,New York,Richmond County,40.5887531,-74.1613951,3
585000,4,2.0,2184.207862,New York,Queens County,40.6082787,-73.7495095,2
630000,2,2.0,2184.207862,New York,Queens County,40.7903558,-73.8528872,2
1399888,7,4.0,3682.0,New York,Kings County,40.612845,-73.9182251,4
550000,3,1.0,446.0,New York County,New York,40.7670912,-73.9616292,2
699000,2,2.0,1030.0,Queens County,Queens,40.7627559,-73.8168695,3
599000,2,2.0,1200.0,Kings County,Brooklyn,40.6186895,-74.032363,2
611999,3,2.0,2184.207862,New York,Queens County,40.6973209,-73.7315945,2
1280000,5,4.0,3600.0,New York,Richmond County,40.4995462,-74.2443078,4
5925000,3,4.0,2539.0,Kings County,Brooklyn,40.7022,-73.990838,5
835000,3,2.0,2184.207862,New York,Kings County,40.6226706,-73.9327329,3
4675000,4,2.0,2184.207862,New York County,New York,40.7920875,-73.9773027,5
232500,1,1.0,2184.207862,Queens County,Queens,40.7121373,-73.8277084,1
799000,6,4.0,2200.0,New York,Queens County,40.598207,-73.7911759,3
345000,2,1.0,975.0,Bronx County,The Bronx,40.8828679,-73.9112962,1
395000,5,1.0,1000.0,New York,New York County,40.7700395,-73.9638872,1
758888,3,1.0,2184.207862,New York,Queens County,40.7676985,-73.7850344,3
374900,1,1.0,782.0,Bronx County,The Bronx,40.8778771,-73.9188767,1
8995000,5,4.0,4373.0,New York County,New York,40.7620381,-73.9808958,5
375000,1,1.0,2184.207862,New York County,New York,40.7228235,-73.98509,1
279999,2,1.0,666.0,Kings County,Brooklyn,40.5844399,-73.9316116,1
285000,3,1.0,2184.207862,New York County,New York,40.7489931,-73.97025,1
299999,1,1.0,850.0,Queens County,Queens,40.7249599,-73.84549,1
2500000,5,4.0,4400.0,New York,Kings County,40.6832052,-73.9491758,5
1698000,12,4.0,2184.207862,New York,Queens County,40.7063276,-73.9114914,4
462900,3,1.0,2184.207862,New York County,New York,40.746567,-73.9835139,2
899000,3,2.0,1324.0,New York,Kings County,40.6055237,-73.9143161,3
4995000,6,6.0,4000.0,New York,New York County,40.74338,-73.9787014,5
897888,3,2.0,1260.0,New York,Queens County,40.7292895,-73.8945367,3
299999,3,1.0,2184.207862,New York County,New York,40.7810583,-73.9808407,1
799000,4,3.0,2184.207862,New York,Kings County,40.6483188,-73.9039932,3
435000,3,1.0,2184.207862,New York County,New York,40.7257358,-74.0017575,2
485000,2,2.0,816.0,New York,Bronx County,40.8392076,-73.8539325,2
